Item,Description,Amount,Total Cost
Round Display,"1.28"" TFT LCD GC9A01",1,$3.80
Microphone Module,I2S INMP441 Microphone,1,0 (Already Have)
Speaker Module,4 ohm 3 watt,1,0 (Already Have)
Audio Amp,MAX98357A Audio Amplifier Module,1,0 (Already Have)
ESP32 S3,N16R8,1,$6.60
USB-C Cable,For power and programming,1,0 (Already Have)
Jumper Wires,,~20,0 (Already Have)
Breadboard,For prototyping,1,0 (Already Have)
,,Total:,$10.40
Sheet With Links: https://docs.google.com/spreadsheets/d/1rEzeNBBt6LBTQF6fnU12Dy_3lUBRjMwdXFT9IxuN5R0/edit?usp=sharing ,,,